"Prompt","Persona","Character","Hair Colour","Hairstyle","Pose/Action","Clothing Style","Top Clothing Description","Top Clothing","Bottom Clothing Description","Bottom Clothing","Footwear Description","Footwear","Accessories","Expression/Emotion","Makeup","Setting","Mood/Lighting/Vibe","Camera Angle","Tags/Keywords","Orientation","Cinematic Framing"
"Painting in an Art Studio","promiscuous","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","loose, wavy ponytail","Crouching to adjust canvas ","Casual bohemian","white linen","crop top","denim","mini skirt","wedge sneakers","Wedge sneakers","silver anklet","Focused yet teasing","Natural glow, soft pink lip gloss, subtle blush","Bright art studio in Hong Kong with wooden floors, scattered art supplies","Midday creative tease, warm sunlight","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Drinking Tea in a Garden","licentious","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","sleek, high bun","Reclining on a bench, toes pointing towards the viewer ","Traditional elegance","multicolored floral","kimono-style top","white","A-line skirt","tan","sandals","woven straw hat","Calm and charming","Dewy finish, nude lipstick, soft eyeliner","Lush garden with blooming cherry blossoms, small wooden table, morning mist","Morning serene charm, gentle morning light","Top-down frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Shopping for Jewelry","salacious","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","voluminous, wavy style","Leaning over counter ","Trendy chic","emerald green","mini dress","matching","Ultra short shorts","Blue and shiny","heels","gold bangle","Playful and excited","Bold red lipstick, winged eyeliner, glowing highlighter","Upscale jewelry boutique with glass displays, marble counters, soft afternoon light through large windows","Afternoon playful vibe, soft afternoon light","Over-the-shoulder frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Relaxing in a Hot Spring","lascivious","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","messy, wet updo","Lounging on rocks ","Minimalist sensual","Ripped","towel","matching","black lace panties","barefoot","loafers","wooden bead bracelet","Relaxed yet sultry","Natural glow, no lipstick, wet-look highlighter","Outdoor hot spring surrounded by bamboo, steam rising, warm lantern light in the evening","Evening sultry glow, warm lantern light","Low-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Cooking in a Kitchen","Lustful","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","loose, messy bun","Twirling a spoon ","Cozy casual","Black silk","apron dress","black","crop top","barefoot","Slipons","silver choker","Warm and teasing","Soft coral lipstick, dewy blush, subtle mascara","Modern kitchen with wooden cabinets, marble countertop, warm pendant lights at night","Nighttime cozy tease, warm pendant lights","Side-tracking frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Adjusting the Art","breathtaking","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress, beautiful open-mouth smile","auburn copper","straight with wispy bangs","Posing thoughtfully ","Glamorous futuristic","metallic silver","jumpsuit","matching","Accordion mini skirt","Pink and shiny","D’orsay heels","turquoise scarf","Teasing and confident","Bold coral lipstick, smoky eyeshadow, glowing highlighter","Contemporary living room with floor-to-ceiling windows, colorful abstract art, iridescent evening lights","Evening glamour, prismatic light reflections","Worm’s-eye frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Low-Angle Shot"
"Sipping a Cocktail","happy","Cataug, a 23-year-old Asian and White mixed young woman from New York City, 5’5”, athletic yet curvaceous build with a toned waist, medium full natural breasts, striking hazel eyes, always camera-ready with bold poses, charismatic charm, loves vibrant urban settings","caramel","sleek, high ponytail","Posing with one hand on hip ","Elegant futuristic","White silk","jumpsuit","matching","Trousers with white stripes","Dirty and old","Tractor platform","rose quartz pendant","Sultry and alluring","Natural glow, nude lipstick, soft eyeliner","Urban penthouse with floor-to-ceiling windows, colorful abstract art, iridescent evening lights","Evening glamour, prismatic light reflections","High-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Low-Angle Shot"
"Dancing by the Windows","aroused","","light blonde","hime cut","Spinning gracefully ","Playful futuristic","Sage","jumpsuit","matching","A-line skirt","Red and shiny","T-strap heels","gold hoop earrings","Radiant and playful","Soft turquoise eyeshadow, dewy blush, subtle gloss","City loft with floor-to-ceiling windows, neon-lit skyline, iridescent evening lights","Evening glamour, prismatic light reflections","Orbital tracking shot, capturing dynamic pose","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Wide Shot"
"Rooftop Terrace Introduction","Determined","","golden blonde","half updo","Posing confidently with hands on hips","Chic casual","Ruby colour","off-shoulder top","blue","high-waisted jeans","tan","clogs","beaded necklace","Warm and confident","Natural glow, soft pink lipstick, subtle winged eyeliner","A detailed rooftop terrace with white railings, potted succulents, wooden table, golden hour sunlight, city skyline view","Golden hour vibrant charm, warm sunlight","Frontal canted shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
